deeplink     ,uuid                                  ,marketing loc                                                                                                         ,docs loc                                                                                                                                                                                              ,xml src                                                                                                                                                                                               ,md src                                                                                                                
             ,bc1b1542-1a37-4da1-bcfd-fc86af881642  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/marketing-cloud-interface.html,https://docs.adobe.com/content/help/en/core-services/interface/release-notes/marketing-cloud-interface.html                                                                                           ,                                                                                                                                                                                                      ,help/interface/marketing-cloud-interface/marketing-cloud-interface.md                                                 
             ,fcff8cc6-e587-4bf2-9a75-261d4eabc7d4  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/release-notes.html,https://docs.adobe.com/content/help/en/core-services/interface/release-notes/release-notes.html                                                                                                       ,                                                                                                                                                                                                      ,help/interface/marketing-cloud-interface/release-notes.md                                                             
,,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/triggers.html,https://docs.adobe.com/content/help/en/core-services/interface/activation/triggers.html,,
             ,5820060f-9b18-4339-81e0-401d964f7a03  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/aam_mc.html                                                   ,https://docs.adobe.com/content/help/en/core-services/interface/about-core-services/core-services.html                                                                                                 ,                                                                                                                                                                                                      ,help/interface/core-services/core-services.md                                                                         
x            ,5820060f-9b18-4339-81e0-401d964f7a03  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/aam_mc.html                                                   ,https://docs.adobe.com/content/help/en/core-services/interface/about-core-services/core-services.html#section_960C06093623462E8EA247B3E97274A1                                                        ,aam_mc.xml                                                                                                                                                                                            ,help/interface/core-services/core-services.md                                                                         
             ,ae47ad18-ac33-4efa-8b68-2bfaf77397aa  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/accounts-experience-cloud.html                                ,https://docs.adobe.com/content/help/en/core-services/interface/manage-users-and-products/organizations.html                                                                                           ,                                                                                                                                                                                                      ,help/interface/admin-getting-started/organizations.md                                                                 
x            ,ae47ad18-ac33-4efa-8b68-2bfaf77397aa  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/accounts-experience-cloud.html                                ,https://docs.adobe.com/content/help/en/core-services/interface/manage-users-and-products/organizations.html                                                                                           ,accounts-experience-cloud.xml                                                                                                                                                                         ,help/interface/admin-getting-started/organizations.md                                                                 
             ,97a849ec-1555-4630-9416-2ab484373f5c  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/asset.html                                                    ,https://docs.adobe.com/content/help/en/core-services/interface/assets/experience-cloud-assets.html                                                                                                    ,                                                                                                                                                                                                      ,help/interface/experience-cloud-assets/experience-cloud-assets.md                                                     
x            ,97a849ec-1555-4630-9416-2ab484373f5c  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/asset.html                                                    ,https://docs.adobe.com/content/help/en/core-services/interface/assets/experience-cloud-assets.html                                                                                                    ,asset.xml                                                                                                                                                                                             ,help/interface/experience-cloud-assets/experience-cloud-assets.md                                                     
x            ,aea4e4c3-f543-4e8d-b553-d838418477d6  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/browsers.html                                                 ,https://docs.adobe.com/content/help/en/core-services/interface/manage-users-and-products/admin-getting-started.html#concept_CDC4371EB9BF433E9534F8716DC8A088                                          ,browsers.xml                                                                                                                                                                                          ,help/interface/admin-getting-started/admin-getting-started.md                                                         
x            ,c1e13b99-0069-4fdb-8d72-ddcec3ed1121  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/mac-deep-linking.html                                         ,https://docs.adobe.com/content/help/en/core-services/interface/manage-users-and-products/getting-started-experience-cloud.html#concept_8BE493A08786469B88B210E13F78FF2F                               ,mac-deep-linking.xml                                                                                                                                                                                  ,help/interface/admin-getting-started/getting-started-experience-cloud.md                                              
x            ,aea4e4c3-f543-4e8d-b553-d838418477d6  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/marketing-cloud-identity-management.html                      ,https://docs.adobe.com/content/help/en/core-services/interface/manage-users-and-products/admin-getting-started.html#topic_3FCB4099640647E3B2411ADBFCE81909                                            ,marketing-cloud-identity-management.xml                                                                                                                                                               ,help/interface/admin-getting-started/admin-getting-started.md                                                         
x            ,c1e13b99-0069-4fdb-8d72-ddcec3ed1121  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/notifications.html                                            ,https://docs.adobe.com/content/help/en/core-services/interface/manage-users-and-products/getting-started-experience-cloud.html                                                                        ,notifications.xml                                                                                                                                                                                     ,help/interface/admin-getting-started/getting-started-experience-cloud.md                                              
